S. No.,Name,Short Description,Image URL,Type,Calories (in Kcal),Total Fat (in g),Saturated Fat (in g),Trans Fat (in g),Cholesterol (in mg),Sodium (in mg),Carbohydrate (in g),Dietary Fiber (in g),Sugar (in g),Protein (in g),Calcium (in mg),Iron (in mg),Potassium (in mcg),Vitamin A (in mcg),Vitamin B1 (in mg),Vitamin B2 (in mg),Vitamin B3 (in mg),Vitamin B4 (in mg),Vitamin B5 (in mg),Vitamin B6 (in mg),Vitamin B9 (in mcg),Vitamin B12 (in mcg),Vitamin C (in mg),Vitamin D (in mcg),Vitamin E (in mg),Vitamin K (in mcg),Phosphorus (in mg),Magnesium (in mg),Zinc (in mg),Copper (in mg),Recommended portion (in g)
42,Kakadu Plum,"Kakadu Plum is a small green fruit native to Northern Australia. It is known for its extremely high vitamin C content and is considered a superfood.",https://karinda.com/cdn/shop/articles/kakadupluminstapic_1600x.jpg?v=1446897845,Vegan,43,0.2,0,0,0,0,9.6,5.4,0,1.2,81,1.9,530,27,0.01,0.02,0.3,0,0.3,0.03,48,0,4813,0,0.9,0.5,27,32,0.2,0.1,43
43,Kiwis,"Kiwis, also known as kiwifruits, are small, fuzzy fruits that are rich in vitamin C and other essential nutrients.",https://images.unsplash.com/photo-1585849469222-fb9abe5404d7?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,61,0.5,0.1,0,0,3,14.6,3,8.9,1.1,34,0.5,312,3,0.03,0.05,0.3,0,0.2,0.1,25,0,92,0,1.5,40.3,34,17,0.1,0.1,100
44,Lamb,"Lamb is meat from young sheep and is a good source of high-quality protein, vitamins, and minerals.",https://images.unsplash.com/photo-1448907503123-67254d59ca4f?q=80&w=1469&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Non-Vegetarian,234,16.1,6.9,0.7,78,71,0,0,0,23.5,13,1.9,256,0,0.1,0.2,7.8,0,0.9,0.3,4,2.8,0,1.1,0.6,2.6,173,20,3.7,0.1,85
45,Legumes,"Legumes are a group of plants that include beans, lentils, peas, and chickpeas. They are a rich source of plant-based protein, fiber, and various vitamins and minerals.",https://images.unsplash.com/photo-1472141521881-95d0e87e2e39?q=80&w=1472&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,116,0.4,0.1,0,0,2,20.8,8,4.5,8.2,49,2.9,384,0,0.2,0.1,1,0,0.4,0.2,209,0,4.8,0,0.4,9,106,48,1.2,0.4,123
46,Lemons,"Lemons are citrus fruits known for their sour taste and high vitamin C content. They are commonly used in culinary and for their refreshing juice.",https://images.unsplash.com/photo-1568569350062-ebfa3cb195df?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,29,0.3,0.1,0,0,2,9.3,2.8,2.5,1.1,26,0.6,138,0,0.04,0.02,0.1,0,0.2,0.1,11,0,53,0,0.2,0.5,16,8,0.1,0.1,58
47,Lentils,"Lentils are legumes that come in various colors and are a rich source of plant-based protein, fiber, and various vitamins and minerals.",https://images.unsplash.com/photo-1638378545909-d78bd9b4271c?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,116,0.4,0.1,0,0,2,20.1,7.9,1.8,9,19,3.3,369,0,0.1,0.1,0.5,0,0.6,0.1,179,0,1.5,0,0.5,2.5,180,36,1.5,0.3,99
48,Lobsters,"Lobsters are marine crustaceans known for their sweet and tender meat. They are a good source of protein, vitamins, and minerals.",https://images.unsplash.com/photo-1551463682-189bf47449d0?q=80&w=1396&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Non-Vegetarian,90,0.9,0.2,0,72,274,0,0,0,19.7,38,0.2,256,5,0.1,0.1,3.8,0,1.1,0.1,4,1.1,0.9,0.1,0.6,0.1,247,25,2.5,0.1,454
49,Lychees,"Lychees are tropical fruits known for their sweet and floral flavor. They are rich in vitamin C and other essential nutrients.",https://images.unsplash.com/photo-1521123036037-6725d75de336?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,66,0.4,0.1,0,0,1,16.5,1.3,9.2,0.9,5,0.3,171,0,0.01,0.05,0.3,0,0.1,0.1,14,0,136,0,0.1,0.4,31,10,0.1,0.1,196
51,Mango,"Mango is a tropical fruit known for its sweet and juicy flesh. It is rich in vitamins, minerals, and antioxidants.",https://images.unsplash.com/photo-1629358821360-500f89a5a907?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,60,0.4,0.1,0,0,1,15,1.6,13.7,0.8,11,0.2,168,54,0.03,0.04,0.6,0,0.2,0.1,43,0,36.4,0,0.9,4.2,11,9,0.1,0.1,196
52,Mung Beans,"Mung beans are legumes that are commonly consumed in various cuisines. They are a rich source of plant-based protein, fiber, and various vitamins and minerals.",https://images.unsplash.com/photo-1594900799266-0e56587ba586?q=80&w=1402&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,105,0.4,0.1,0,0,6,19.6,7.6,1.4,7,27,1.4,271,1,0.1,0.1,0.6,0,0.4,0.1,16,0,4.8,0,0.2,0.1,54,48,0.4,0.1,104
53,Mushrooms,"Mushrooms are fungi that are commonly used in various culinary dishes. They are low in calories and provide a good source of vitamins, minerals, and antioxidants.",https://images.unsplash.com/photo-1583328439472-8130d925d63c?q=80&w=1524&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,22,0.3,0.1,0,0,5,3.3,1,2,3.1,2,0.5,318,0,0.1,0.4,3.5,0,1.5,0.1,19,0,2.1,0,0.1,9.7,70,9,0.5,0.1,156
55,Mustard Spinach,"Mustard Spinach, also known as Chinese spinach or Komatsuna, is a leafy green vegetable rich in vitamins, minerals, and antioxidants.",https://images.unsplash.com/photo-1549736624-81a2ca809ad7?q=80&w=1467&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,22,0.5,0.1,0,0,46,3.1,2.7,0.5,2.7,115,1.6,391,3024,0.06,0.14,0.7,0,0.2,0.1,59,0,69,0,1.1,299,45,28,0.3,0.1,140
56,Oatmeal,"Oatmeal is a popular breakfast dish made from oats, known for its high fiber content and various health benefits.",https://images.unsplash.com/photo-1571748982800-fa51082c2224?q=80&w=1471&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,71,1.5,0.3,0,0,2,12.3,1.7,0.5,2.4,13,0.5,58,0,0.1,0.03,0.1,0,0.1,0,13,0,0,0,0.4,0.3,54,16,0.4,0.1,234
57,Octopus,"Octopus is a seafood delicacy known for its unique texture and flavor. It is a good source of protein and various vitamins and minerals.",https://images.unsplash.com/photo-1606850780554-b55ea4dd0b70?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Non-Vegetarian,82,1.1,0.2,0,48,337,2.2,0,0,16.4,56,2.2,430,50,0.03,0.05,1.2,0,0.5,0.3,6,8,2,0,1.1,1.1,199,68,1,0.2,93
58,Olives,"Olives are small fruit from the olive tree and are commonly used in various culinary dishes. They are a good source of healthy fats and antioxidants.",https://images.unsplash.com/photo-1634657443172-efbae44fd04b?q=80&w=1471&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,115,10.7,1.4,0,0,735,6.3,3.2,0.5,0.8,88,3.3,42,240,0,0,0.1,0,0.1,0,0,0,1.6,0,3.8,1.4,3,11,0.2,0.1,40
59,Orange,"Orange is a citrus fruit known for its sweet and tangy flavor. It is a rich source of vitamin C and other essential nutrients.",https://images.unsplash.com/photo-1482012792084-a0c3725f289f?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,43,0.2,0,0,0,1,8.3,2.2,8.2,1,43,0.1,181,11,0.1,0.04,0.3,0,0.3,0.1,30,0,53.2,0,0.2,0,14,10,0.1,0.1,131
60,Oysters,"Oysters are shellfish known for their delicate flavor and are rich in essential nutrients, including zinc and omega-3 fatty acids.",https://images.unsplash.com/photo-1584776252066-7ad031913ca0?q=80&w=1458&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Non-Vegetarian,68,1.4,0.3,0,105,196,4.9,0,0,12.2,82,5.7,210,100,0.1,0.3,2.5,0,1,0.1,6,19,6,6,1,0,190,54,59,7.5,94
61,Papayas,"Papayas are tropical fruits known for their sweet taste and vibrant orange color. They are rich in vitamin C, vitamin A, and other beneficial compounds.",https://images.unsplash.com/photo-1541472596887-494ee5c0fe30?q=80&w=1567&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,43,0.3,0.1,0,0,8,11,1.7,9,0.5,20,0.3,257,950,0,0.1,0.3,0,0.2,0.1,38,0,61.8,0,0.3,2.6,5,21,0.1,0.1,140
62,Parsley,"Parsley is a green herb commonly used as a garnish or ingredient in various dishes. It is rich in vitamins, particularly vitamin K, and offers antioxidant properties.",https://images.unsplash.com/photo-1568493840567-5836c376e857?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,36,0.8,0.1,0,0,56,6.3,3.3,0.9,3,138,6.2,554,8424,0.1,0.1,1,0,0.4,0.1,152,0,133,0,0.8,1640,58,50,1,0.1,8
63,Peanuts,"Peanuts are legumes that are commonly consumed as snacks. They are rich in protein, healthy fats, and various essential nutrients.",https://images.unsplash.com/photo-1575399872095-9363bf262e64?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,567,49.2,6.3,0,0,18,16.1,8.5,4.7,25.8,92,4.6,705,0,0.6,0.1,12.1,0,1.8,0.3,240,0,0,0,8.3,0.9,376,168,3.3,1.1,28
64,Peas,"Peas are a type of legume known for their sweet taste. They are rich in vitamins, minerals, and dietary fiber.",https://images.unsplash.com/photo-1546339434-7bd2a071eab6?q=80&w=1446&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,81,0.4,0.1,0,0,5,14.5,5.1,5.7,5.4,25,1.5,244,765,0.3,0.1,2,0,0.1,0.2,65,0,40,0,0.1,24.8,108,33,1.2,0.2,80
65,Pistachios,"Pistachios are nuts with a slightly sweet and savory flavor. They are rich in healthy fats, protein, and various vitamins and minerals.",https://images.unsplash.com/photo-1628624788459-4472cefc61d1?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,562,45.4,5.6,0,0,1,27.5,10.3,7.7,20.3,107,3.9,1025,22,0.9,0.1,1.3,0,0.8,1.3,51,0,2.3,0,2.9,7.3,490,121,2.2,0.8,30
66,Pomegranate,"Pomegranate is a vibrant and delicious fruit known for its juicy seeds. It is rich in antioxidants, vitamins, and minerals.",https://images.unsplash.com/photo-1541344999736-83eca272f6fc?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,83,1.2,0.1,0,0,3,18.7,4,9.2,1.7,10,0.3,236,0,0.1,0.1,3,0,0.1,0.1,38,0,10.2,0,0.6,16.4,10,12,0.3,0.1,280
67,Pork,"Pork is the meat obtained from domestic pigs. It is a good source of protein and contains various vitamins and minerals.",https://images.unsplash.com/photo-1602491950780-1c5411ecfdf6?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Non-Vegetarian,143,8.9,3.1,0.4,62,50,0,0,0,15.9,11,0.9,256,0,0.6,0.2,5.2,0,1.1,0.4,2,0.7,0,1,0.4,0.1,141,21,2.3,0.1,97
68,Potatoes,"Potatoes are a starchy vegetable commonly consumed worldwide. They are a good source of carbohydrates, vitamins, and minerals.",https://images.unsplash.com/photo-1563012678-bdfec255931b?q=80&w=1374&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,93,0.2,0.1,0,0,6,21,2.2,1,2.1,12,0.8,474,0,0.1,0.02,1.1,0,0.3,0.3,15,0,19.7,0,0.1,1.9,44,23,0.3,0.1,124
69,Pumpkin Seeds,"Pumpkin seeds, also known as pepitas, are edible seeds from pumpkins. They are a nutritious snack rich in protein, healthy fats, and various vitamins and minerals.",https://images.unsplash.com/photo-1601368156156-fb9e52e2f5dd?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,574,49,8.7,0,0,18,15,6,1.4,30,46,8.8,807,0,0.3,0.2,1.4,0,0.9,0.1,58,0,1.3,0,2.6,7.3,1233,592,7.6,1.4,28
70,Quinoa,"Quinoa is a gluten-free grain that is a good source of protein, fiber, and various vitamins and minerals.",https://plus.unsplash.com/premium_photo-1674654419483-e9b8c9d2f3df?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,120,1.9,0.2,0,0,5,21.3,2.8,0.9,4,17,1.5,172,0,0.1,0.1,0.4,0,0.2,0.1,49,0,0,0,1.5,0.7,152,64,1.1,0.2,185
71,Raspberries,"Raspberries are delicious berries known for their vibrant color and sweet-tart flavor. They are rich in antioxidants, vitamins, and fiber.",https://images.unsplash.com/photo-1593461802389-d57d73a36913?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,52,0.7,0,0,0,1,11.9,6.5,4.4,1.2,25,0.7,151,54,0.03,0.03,0.6,0,0.3,0.1,21,0,26.2,0,0.9,7.8,29,22,0.4,0.1,123
72,Red Chili Pepper,"Red chili peppers are spicy fruits widely used as a flavoring agent in various cuisines. They contain capsaicin, which gives them their characteristic heat.",https://images.unsplash.com/photo-1526346698789-22fd84314424?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,40,0.4,0.1,0,0,9,8.8,1.5,5.3,1.9,8,1,322,3850,0.1,0.1,1.9,0,0.4,0.4,23,0,144,0,1.9,14,43,23,0.3,0.1,5
73,Red Kidney Beans,"Red kidney beans are a type of legume that is commonly used in various cuisines. They are rich in protein, fiber, and essential nutrients.",https://images.unsplash.com/photo-1523312727315-7c6ae09c3d09?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,127,0.5,0.1,0,0,1,23.8,6.4,0.3,8.7,26,2.6,358,0,0.2,0.1,0.7,0,0.6,0.2,25,0,2.8,0,0.2,1.8,143,35,1,0.2,113
74,Salmon,"Salmon is a fatty fish rich in omega-3 fatty acids, protein, and various vitamins and minerals. It is known for its heart-healthy benefits.",https://images.unsplash.com/photo-1519708227418-c8fd9a32b7a2?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Non-Vegetarian,206,13.4,2.1,0,55,59,0,0,0,22,9,0.6,363,9,0.1,0.2,7.8,0,1.7,0.9,7,4.8,0,12,0.8,0.5,290,27,0.5,0.1,111
75,Shrimp,"Shrimp is a popular seafood known for its delicate flavor and versatility. It is low in calories and a good source of protein, vitamins, and minerals.",https://plus.unsplash.com/premium_photo-1674498268836-5968f6956207?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Non-Vegetarian,71,1,0.3,0,152,111,0,0,0,14.1,37,0.7,151,0,0,0.1,1.3,0,0.3,0.1,2,1.2,1.5,0,1.4,0.1,150,19,1.3,0.1,92
76,Soy Milk,"Soy milk is a plant-based milk alternative made from whole soybeans. It is a good source of protein, vitamins, and minerals, and is commonly used as a dairy milk substitute.",https://images.unsplash.com/photo-1566828791229-3804b533f840?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,33,1.8,0.2,0,0,32,1.8,0.2,0.2,3.3,7,0.6,108,0,0,0.1,0.2,0,0.1,0,1,0,0,0,0.3,0.1,29,12,0.2,0,127
77,Soybeans,"Soybeans are legumes known for their high protein content. They are a versatile ingredient used in various food products and are a key component in the production of soy-based products like tofu and soy milk.",https://images.unsplash.com/photo-1639843606783-b2f9c50a7468?q=80&w=1373&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,173,9,1.3,0,0,15,9,6,3.9,16.6,102,3.6,515,1,0.4,0.2,1.1,0,0.8,0.3,275,0,6,0,1.3,47,194,65,2.1,0.4,172
78,Spinach,"Spinach is a leafy green vegetable that is rich in vitamins, minerals, and antioxidants. It is known for its versatility and nutritional benefits.",https://images.unsplash.com/photo-1580910365203-91ea9115a319?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,23,0.4,0.1,0,0,79,3.6,2.2,0.4,2.9,99,2.7,558,469,0.1,0.2,0.7,0,0.1,0.2,194,0,47.9,0,0.6,482,49,79,0.5,0.1,42
79,Sunflower Seeds,"Sunflower seeds are a nutritious snack, rich in healthy fats, protein, and various vitamins and minerals. They are commonly consumed as a snack or added to salads and dishes for extra crunch.",https://images.unsplash.com/photo-1635843111961-06c71c3ed8cf?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,584,51.5,5.5,0,0,9,20,8.6,2.6,20.8,78,5.3,645,1,1.5,0.4,8.3,0,1.5,1.3,227,0,1.4,0,35.2,7.4,660,325,5,1.8,30
80,Sweet Potatoes,"Sweet potatoes are a nutritious root vegetable that is rich in vitamins, minerals, and antioxidants. They are a good source of complex carbohydrates and fiber.",https://images.unsplash.com/photo-1584699006710-3ad3b82fce7f?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,90,0.2,0.1,0,0,55,20.7,3,4.2,2,30,0.6,337,709,0.1,0.1,0.6,0,0.6,0.2,11,0,2.4,0,0.3,1.8,30,25,0.3,0.1,114
81,Sweet Yellow Peppers,"Sweet yellow peppers are a colorful and flavorful vegetable rich in vitamins, particularly vitamin C, and antioxidants. They add a sweet taste to dishes and are low in calories.",https://plus.unsplash.com/premium_photo-1661438187813-99290476805e?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,27,0.3,0,0,0,4,6.3,1.7,4.2,0.9,11,0.2,211,16,0,0,0.6,0,0.1,0.3,20,0,183,0,0.4,7.4,18,10,0.2,0.1,150
82,Tangerines,"Tangerines are citrus fruits known for their sweet and tangy flavor. They are a good source of vitamin C, fiber, and various antioxidants.",https://images.unsplash.com/photo-1611329646571-689ddf8bfee9?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,53,0.3,0,0,0,2,13.3,1.8,9.4,0.8,37,0.2,166,34,0.1,0,0.4,0,0.2,0.1,17,0,43.8,0,0.2,0,14,12,0.1,0.1,88
83,Tofu,"Tofu, also known as bean curd, is a popular plant-based protein made from soybeans. It is a versatile ingredient used in various cuisines and dishes.",https://img.freepik.com/free-photo/tofu-made-from-soybeans-food-nutrition-concept_1150-26356.jpg?w=826&t=st=1703408491~exp=1703409091~hmac=b718927e240de048041d2823e82afa232bfc671c1310f3e2799c53e8c98325a5,Vegan,144,8,1.2,0,0,8,3.9,2,1.5,15.8,683,2.7,121,1,0.1,0.1,0.3,0,0.1,0.1,22,0,0,0,0.1,1.8,121,33,0.9,0.2,85
84,Tomato,"Tomatoes are a popular and versatile fruit commonly used in savory dishes. They are rich in vitamins, particularly vitamin C, and antioxidants.",https://images.unsplash.com/photo-1524593166156-312f362cada0?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,18,0.2,0,0,0,5,3.9,1.2,2.6,0.9,11,0.3,237,42,0,0,0.6,0,0.1,0.1,15,0,23.9,0,0.5,7.9,24,11,0.2,0.1,111
85,Turkey,"Turkey is a lean protein source that is often consumed as part of festive meals and in various dishes. It is low in fat and a good source of essential nutrients.",https://images.unsplash.com/photo-1606728035253-49e8a23146de?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Non-Vegetarian,135,3,0.9,0,70,50,0,0,0,25.7,11,1.3,256,0,0.1,0.1,8.8,0,1.7,0.9,4,0.3,0,0,0.6,0.3,229,26,2.4,0.1,113
86,Walnuts,"Walnuts are a nutritious nut known for their rich flavor and various health benefits. They are a good source of healthy fats, protein, and essential nutrients.",https://images.unsplash.com/photo-1597919926208-98ef640fc1d0?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,654,65.2,6.1,0,0,2,13.7,6.7,2.6,15.2,98,2.9,441,1,0.3,0.1,0.5,6,0.6,0.5,98,0,1.3,0,0.7,2.7,346,158,3.1,1.9,30
87,Watermelon,"Watermelon is a refreshing and hydrating fruit known for its high water content. It is low in calories and a good source of vitamins and antioxidants.",https://images.unsplash.com/photo-1589984662646-e7b2e4962f18?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,30,0.2,0,0,0,1,7.6,0.4,6.2,0.6,7,0.2,112,28,0,0,0.2,0,0.2,0.1,3,0,8.1,0,0.1,0.1,11,10,0.1,0,152
88,Wheat,"Wheat is a staple grain widely used in various food products. It is a good source of complex carbohydrates, fiber, and several essential nutrients.",https://images.unsplash.com/photo-1501430654243-c934cec2e1c0?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,339,1.9,0.2,0,0,2,71.2,12.2,0.4,11.6,29,3.9,363,0,0.4,0.1,6.3,0,0.9,0.3,56,0,0,0,0.5,1.9,346,138,3.9,0.4,98
89,Yogurt,"Yogurt is a dairy product made by fermenting milk with beneficial bacteria. It is a rich source of calcium, protein, and probiotics, promoting gut health.",https://img.freepik.com/free-photo/avocado-avocado-yogurt-products-made-from-avocado-food-nutrition-concept_1150-26288.jpg?w=826&t=st=1703408107~exp=1703408707~hmac=3eab0c0d3d7e1f3cf2dee67adb50ffb6315714e47086c618b14b0405ca1d8c58,Vegetarian,61,3.3,2.1,0,13,36,4.7,0,4.7,3.5,121,0.1,155,47,0,0.2,0.1,0,0.4,0.1,6,0.5,0.4,0,0.1,0.2,105,11,0.5,0,165
